2019-10-25 15:15:18.3487||DEBUG|WebApplication1.Program|init main |url: |action: 
2019-10-25 15:15:20.7889||DEBUG|Microsoft.AspNetCore.Mvc.RazorPages.RazorPagesOptions|Compatibility switch AllowMappingHeadRequestsToGetHandler in type RazorPagesOptions is using default value False |url: |action: 
2019-10-25 15:15:20.8488||DEBUG|Microsoft.AspNetCore.Mvc.MvcViewOptions|Compatibility switch SuppressTempDataAttributePrefix in type MvcViewOptions is using default value False |url: |action: 
2019-10-25 15:15:20.8962|12|DEBUG|Microsoft.AspNetCore.Mvc.ModelBinding.ModelBinderFactory|Registered model binder providers, in the following order: Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BinderTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ServicesModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BodyModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.HeaderModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FloatingPointTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.EnumTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.SimpleTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CancellationTokenModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ByteArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormFileModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormCollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.KeyValuePairModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DictionaryModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ComplexTypeModelBinderProvider |url: |action: 
2019-10-25 15:15:20.9957|2|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Core.KestrelServer|Failed to locate the development https certificate at '(null)'. |url: |action: 
2019-10-25 15:15:21.0741|4|DEBUG|Microsoft.AspNetCore.Hosting.Internal.WebHost|Hosting started |url: |action: 
2019-10-25 15:15:21.0741||DEBUG|Microsoft.AspNetCore.Hosting.Internal.WebHost|Loaded hosting startup assembly WebApplication1 |url: |action: 
2019-10-25 15:15:21.0782||DEBUG|Microsoft.AspNetCore.Hosting.Internal.WebHost|Loaded hosting startup assembly Microsoft.AspNetCore.Server.IISIntegration |url: |action: 
2019-10-25 15:15:21.4662|1|DEBUG|Microsoft.AspNetCore.Server.Kestrel|Connection id "0HLQP7IG0H6U0" started. |url: |action: 
2019-10-25 15:15:21.5774|1|DEBUG|Microsoft.AspNetCore.Server.Kestrel|Connection id "0HLQP7IG0H6U1" started. |url: |action: 
2019-10-25 15:15:21.6101||DEBUG|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|Wildcard detected, all requests with hosts will be allowed. |url: http://localhost/|action: 
2019-10-25 15:15:21.6101||DEBUG|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|Wildcard detected, all requests with hosts will be allowed. |url: http://localhost/api/values|action: 
2019-10-25 15:15:21.6101||TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed. |url: http://localhost/|action: 
2019-10-25 15:15:21.6101||TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed. |url: http://localhost/api/values|action: 
2019-10-25 15:15:21.6885|9|DEBUG|Microsoft.AspNetCore.Server.Kestrel|Connection id "0HLQP7IG0H6U0" completed keep alive response. |url: http://localhost/|action: 
2019-10-25 15:15:21.6885|4|DEBUG|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|The request path /api/values does not match a supported file type |url: https://localhost/api/values|action: 
2019-10-25 15:15:21.7377|3|DEBUG|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|The request path  does not match the path filter |url: https://localhost/api/values|action: 
2019-10-25 15:15:22.0716|1|DEBUG|Microsoft.AspNetCore.Routing.RouteBase|Request successfully matched the route with name 'default' and template '{controller=Home}/{action=Index}/{id?}'. |url: https://localhost/api/values|action: 
2019-10-25 15:15:22.0716|3|DEBUG|Microsoft.AspNetCore.Mvc.Internal.ActionSelector|No actions matched the current request. Route values: controller=api, action=values |url: https://localhost/api/values|action: 
2019-10-25 15:15:22.0792|3|DEBUG|Microsoft.AspNetCore.Mvc.Internal.MvcRouteHandler|No actions matched the current request. Route values: controller=api, action=values |url: https://localhost/api/values|action: 
2019-10-25 15:15:22.0792|1|DEBUG|Microsoft.AspNetCore.Builder.RouterMiddleware|Request did not match any routes. |url: https://localhost/api/values|action: 
2019-10-25 15:15:22.0792|9|DEBUG|Microsoft.AspNetCore.Server.Kestrel|Connection id "0HLQP7IG0H6U1" completed keep alive response. |url: https://localhost/api/values|action: 
2019-10-25 16:02:53.0678||DEBUG|WebApplication1.Program|init main |url: |action: 
2019-10-25 16:02:53.6119|3|DEBUG|Microsoft.AspNetCore.Hosting.Internal.WebHost|Hosting starting |url: |action: 
2019-10-25 16:02:53.7041|37|DEBUG|Microsoft.AspNetCore.DataProtection.Repositories.FileSystemXmlRepository|Reading data from file 'C:\Users\Cavid\AppData\Local\ASP.NET\DataProtection-Keys\key-9f0ced3c-f7e4-4d94-aea6-956e4cda0b78.xml'. |url: |action: 
2019-10-25 16:02:53.7305|18|DEBUG|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|Found key {9f0ced3c-f7e4-4d94-aea6-956e4cda0b78}. |url: |action: 
2019-10-25 16:02:53.7491|13|DEBUG|Microsoft.AspNetCore.DataProtection.KeyManagement.DefaultKeyResolver|Considering key {9f0ced3c-f7e4-4d94-aea6-956e4cda0b78} with expiration date 2019-11-05 16:59:45Z as default key. |url: |action: 
2019-10-25 16:02:53.7850||DEBUG|Microsoft.AspNetCore.DataProtection.TypeForwardingActivator|Forwarded activator type request from Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor, Microsoft.AspNetCore.DataProtection, Version=2.1.1.0, Culture=neutral, PublicKeyToken=adb9793829ddae60 to Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor, Microsoft.AspNetCore.DataProtection, Culture=neutral, PublicKeyToken=adb9793829ddae60 |url: |action: 
2019-10-25 16:02:53.7850|51|DEBUG|Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor|Decrypting secret element using Windows DPAPI. |url: |action: 
2019-10-25 16:02:53.7850||DEBUG|Microsoft.AspNetCore.DataProtection.TypeForwardingActivator|Forwarded activator type request from Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.ConfigurationModel.AuthenticatedEncryptorDescriptorDeserializer, Microsoft.AspNetCore.DataProtection, Version=2.1.1.0, Culture=neutral, PublicKeyToken=adb9793829ddae60 to Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.ConfigurationModel.AuthenticatedEncryptorDescriptorDeserializer, Microsoft.AspNetCore.DataProtection, Culture=neutral, PublicKeyToken=adb9793829ddae60 |url: |action: 
2019-10-25 16:02:53.7850|4|DEBUG|Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.CngCbcAuthenticatedEncryptorFactory|Opening CNG algorithm 'AES' from provider '(null)' with chaining mode CBC. |url: |action: 
2019-10-25 16:02:53.8032|3|DEBUG|Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.CngCbcAuthenticatedEncryptorFactory|Opening CNG algorithm 'SHA256' from provider '(null)' with HMAC. |url: |action: 
2019-10-25 16:02:53.8032|2|DEBUG|Microsoft.AspNetCore.DataProtection.KeyManagement.KeyRingProvider|Using key {9f0ced3c-f7e4-4d94-aea6-956e4cda0b78} as the default key. |url: |action: 
2019-10-25 16:02:53.8152||DEBUG|Microsoft.AspNetCore.DataProtection.Internal.DataProtectionStartupFilter|Key ring with default key {9f0ced3c-f7e4-4d94-aea6-956e4cda0b78} was loaded during application startup. |url: |action: 
2019-10-25 16:02:53.8399||DEBUG|Microsoft.AspNetCore.Mvc.MvcJsonOptions|Compatibility switch AllowInputFormatterExceptionMessages in type MvcJsonOptions is using default value False |url: |action: 
2019-10-25 16:02:53.8535||DEBUG|Microsoft.AspNetCore.Mvc.MvcOptions|Compatibility switch AllowCombiningAuthorizeFilters in type MvcOptions is using default value False |url: |action: 
2019-10-25 16:02:53.8535||DEBUG|Microsoft.AspNetCore.Mvc.MvcOptions|Compatibility switch AllowBindingHeaderValuesToNonStringModelTypes in type MvcOptions is using default value False |url: |action: 
2019-10-25 16:02:53.8535||DEBUG|Microsoft.AspNetCore.Mvc.MvcOptions|Compatibility switch AllowValidatingTopLevelNodes in type MvcOptions is using default value False |url: |action: 
2019-10-25 16:02:53.8603||DEBUG|Microsoft.AspNetCore.Mvc.MvcOptions|Compatibility switch InputFormatterExceptionPolicy in type MvcOptions is using default value AllExceptions |url: |action: 
2019-10-25 16:02:53.8603||DEBUG|Microsoft.AspNetCore.Mvc.MvcOptions|Compatibility switch SuppressBindingUndefinedValueToEnumType in type MvcOptions is using default value False |url: |action: 
2019-10-25 16:02:53.8603||DEBUG|Microsoft.AspNetCore.Mvc.RazorPages.RazorPagesOptions|Compatibility switch AllowAreas in type RazorPagesOptions is using default value False |url: |action: 
2019-10-25 16:02:53.8759||DEBUG|Microsoft.AspNetCore.Mvc.RazorPages.RazorPagesOptions|Compatibility switch AllowMappingHeadRequestsToGetHandler in type RazorPagesOptions is using default value False |url: |action: 
2019-10-25 16:02:53.9106||DEBUG|Microsoft.AspNetCore.Mvc.MvcViewOptions|Compatibility switch SuppressTempDataAttributePrefix in type MvcViewOptions is using default value False |url: |action: 
2019-10-25 16:02:53.9395|12|DEBUG|Microsoft.AspNetCore.Mvc.ModelBinding.ModelBinderFactory|Registered model binder providers, in the following order: Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BinderTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ServicesModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BodyModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.HeaderModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FloatingPointTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.EnumTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.SimpleTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CancellationTokenModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ByteArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormFileModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormCollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.KeyValuePairModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DictionaryModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ComplexTypeModelBinderProvider |url: |action: 
2019-10-25 16:02:54.0583|2|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Core.KestrelServer|Failed to locate the development https certificate at '(null)'. |url: |action: 
2019-10-25 16:02:54.1132|4|DEBUG|Microsoft.AspNetCore.Hosting.Internal.WebHost|Hosting started |url: |action: 
2019-10-25 16:02:54.1132||DEBUG|Microsoft.AspNetCore.Hosting.Internal.WebHost|Loaded hosting startup assembly WebApplication1 |url: |action: 
2019-10-25 16:02:54.1132||DEBUG|Microsoft.AspNetCore.Hosting.Internal.WebHost|Loaded hosting startup assembly Microsoft.AspNetCore.Server.IISIntegration |url: |action: 
2019-10-25 16:02:54.2635|1|DEBUG|Microsoft.AspNetCore.Server.Kestrel|Connection id "0HLQP8D277LQQ" started. |url: |action: 
2019-10-25 16:02:54.4015|9|DEBUG|Microsoft.AspNetCore.Server.Kestrel|Connection id "0HLQP8D277LQQ" completed keep alive response. |url: http://localhost/api/values|action: 
2019-10-25 16:02:54.7386|9|DEBUG|Microsoft.AspNetCore.Server.Kestrel|Connection id "0HLQP8D277LQQ" completed keep alive response. |url: http://localhost/favicon.ico|action: 
2019-10-25 16:03:16.7830||DEBUG|WebApplication1.Program|init main |url: |action: 
2019-10-25 16:03:17.2503|3|DEBUG|Microsoft.AspNetCore.Hosting.Internal.WebHost|Hosting starting |url: |action: 
2019-10-25 16:03:17.3298|37|DEBUG|Microsoft.AspNetCore.DataProtection.Repositories.FileSystemXmlRepository|Reading data from file 'C:\Users\Cavid\AppData\Local\ASP.NET\DataProtection-Keys\key-9f0ced3c-f7e4-4d94-aea6-956e4cda0b78.xml'. |url: |action: 
2019-10-25 16:03:17.3517|18|DEBUG|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|Found key {9f0ced3c-f7e4-4d94-aea6-956e4cda0b78}. |url: |action: 
2019-10-25 16:03:17.3679|13|DEBUG|Microsoft.AspNetCore.DataProtection.KeyManagement.DefaultKeyResolver|Considering key {9f0ced3c-f7e4-4d94-aea6-956e4cda0b78} with expiration date 2019-11-05 16:59:45Z as default key. |url: |action: 
2019-10-25 16:03:17.4020||DEBUG|Microsoft.AspNetCore.DataProtection.TypeForwardingActivator|Forwarded activator type request from Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor, Microsoft.AspNetCore.DataProtection, Version=2.1.1.0, Culture=neutral, PublicKeyToken=adb9793829ddae60 to Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor, Microsoft.AspNetCore.DataProtection, Culture=neutral, PublicKeyToken=adb9793829ddae60 |url: |action: 
2019-10-25 16:03:17.4020|51|DEBUG|Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor|Decrypting secret element using Windows DPAPI. |url: |action: 
2019-10-25 16:03:17.4084||DEBUG|Microsoft.AspNetCore.DataProtection.TypeForwardingActivator|Forwarded activator type request from Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.ConfigurationModel.AuthenticatedEncryptorDescriptorDeserializer, Microsoft.AspNetCore.DataProtection, Version=2.1.1.0, Culture=neutral, PublicKeyToken=adb9793829ddae60 to Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.ConfigurationModel.AuthenticatedEncryptorDescriptorDeserializer, Microsoft.AspNetCore.DataProtection, Culture=neutral, PublicKeyToken=adb9793829ddae60 |url: |action: 
2019-10-25 16:03:17.4084|4|DEBUG|Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.CngCbcAuthenticatedEncryptorFactory|Opening CNG algorithm 'AES' from provider '(null)' with chaining mode CBC. |url: |action: 
2019-10-25 16:03:17.4084|3|DEBUG|Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.CngCbcAuthenticatedEncryptorFactory|Opening CNG algorithm 'SHA256' from provider '(null)' with HMAC. |url: |action: 
2019-10-25 16:03:17.4252|2|DEBUG|Microsoft.AspNetCore.DataProtection.KeyManagement.KeyRingProvider|Using key {9f0ced3c-f7e4-4d94-aea6-956e4cda0b78} as the default key. |url: |action: 
2019-10-25 16:03:17.4252||DEBUG|Microsoft.AspNetCore.DataProtection.Internal.DataProtectionStartupFilter|Key ring with default key {9f0ced3c-f7e4-4d94-aea6-956e4cda0b78} was loaded during application startup. |url: |action: 
2019-10-25 16:03:17.4506||DEBUG|Microsoft.AspNetCore.Mvc.MvcJsonOptions|Compatibility switch AllowInputFormatterExceptionMessages in type MvcJsonOptions is using default value False |url: |action: 
2019-10-25 16:03:17.4631||DEBUG|Microsoft.AspNetCore.Mvc.MvcOptions|Compatibility switch AllowCombiningAuthorizeFilters in type MvcOptions is using default value False |url: |action: 
2019-10-25 16:03:17.4631||DEBUG|Microsoft.AspNetCore.Mvc.MvcOptions|Compatibility switch AllowBindingHeaderValuesToNonStringModelTypes in type MvcOptions is using default value False |url: |action: 
2019-10-25 16:03:17.4631||DEBUG|Microsoft.AspNetCore.Mvc.MvcOptions|Compatibility switch AllowValidatingTopLevelNodes in type MvcOptions is using default value False |url: |action: 
2019-10-25 16:03:17.4631||DEBUG|Microsoft.AspNetCore.Mvc.MvcOptions|Compatibility switch InputFormatterExceptionPolicy in type MvcOptions is using default value AllExceptions |url: |action: 
2019-10-25 16:03:17.4707||DEBUG|Microsoft.AspNetCore.Mvc.MvcOptions|Compatibility switch SuppressBindingUndefinedValueToEnumType in type MvcOptions is using default value False |url: |action: 
2019-10-25 16:03:17.4707||DEBUG|Microsoft.AspNetCore.Mvc.RazorPages.RazorPagesOptions|Compatibility switch AllowAreas in type RazorPagesOptions is using default value False |url: |action: 
2019-10-25 16:03:17.4707||DEBUG|Microsoft.AspNetCore.Mvc.RazorPages.RazorPagesOptions|Compatibility switch AllowMappingHeadRequestsToGetHandler in type RazorPagesOptions is using default value False |url: |action: 
2019-10-25 16:03:17.5109||DEBUG|Microsoft.AspNetCore.Mvc.MvcViewOptions|Compatibility switch SuppressTempDataAttributePrefix in type MvcViewOptions is using default value False |url: |action: 
2019-10-25 16:03:17.5374|12|DEBUG|Microsoft.AspNetCore.Mvc.ModelBinding.ModelBinderFactory|Registered model binder providers, in the following order: Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BinderTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ServicesModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BodyModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.HeaderModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FloatingPointTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.EnumTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.SimpleTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CancellationTokenModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ByteArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormFileModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormCollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.KeyValuePairModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DictionaryModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ComplexTypeModelBinderProvider |url: |action: 
2019-10-25 16:03:17.6289|2|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Core.KestrelServer|Failed to locate the development https certificate at '(null)'. |url: |action: 
2019-10-25 16:03:17.6831|4|DEBUG|Microsoft.AspNetCore.Hosting.Internal.WebHost|Hosting started |url: |action: 
2019-10-25 16:03:17.6831||DEBUG|Microsoft.AspNetCore.Hosting.Internal.WebHost|Loaded hosting startup assembly WebApplication1 |url: |action: 
2019-10-25 16:03:17.6831||DEBUG|Microsoft.AspNetCore.Hosting.Internal.WebHost|Loaded hosting startup assembly Microsoft.AspNetCore.Server.IISIntegration |url: |action: 
2019-10-25 16:03:17.8655|1|DEBUG|Microsoft.AspNetCore.Server.Kestrel|Connection id "0HLQP8D97VR1R" started. |url: |action: 
2019-10-25 16:03:18.0296|9|DEBUG|Microsoft.AspNetCore.Server.Kestrel|Connection id "0HLQP8D97VR1R" completed keep alive response. |url: http://localhost/api/values|action: 
2019-10-25 16:03:18.1290|9|DEBUG|Microsoft.AspNetCore.Server.Kestrel|Connection id "0HLQP8D97VR1R" completed keep alive response. |url: http://localhost/favicon.ico|action: 
2019-10-25 16:03:27.8189||DEBUG|WebApplication1.Program|init main |url: |action: 
2019-10-25 16:03:28.2859|3|DEBUG|Microsoft.AspNetCore.Hosting.Internal.WebHost|Hosting starting |url: |action: 
2019-10-25 16:03:28.3773|37|DEBUG|Microsoft.AspNetCore.DataProtection.Repositories.FileSystemXmlRepository|Reading data from file 'C:\Users\Cavid\AppData\Local\ASP.NET\DataProtection-Keys\key-9f0ced3c-f7e4-4d94-aea6-956e4cda0b78.xml'. |url: |action: 
2019-10-25 16:03:28.3773|18|DEBUG|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|Found key {9f0ced3c-f7e4-4d94-aea6-956e4cda0b78}. |url: |action: 
2019-10-25 16:03:28.4043|13|DEBUG|Microsoft.AspNetCore.DataProtection.KeyManagement.DefaultKeyResolver|Considering key {9f0ced3c-f7e4-4d94-aea6-956e4cda0b78} with expiration date 2019-11-05 16:59:45Z as default key. |url: |action: 
2019-10-25 16:03:28.4368||DEBUG|Microsoft.AspNetCore.DataProtection.TypeForwardingActivator|Forwarded activator type request from Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor, Microsoft.AspNetCore.DataProtection, Version=2.1.1.0, Culture=neutral, PublicKeyToken=adb9793829ddae60 to Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor, Microsoft.AspNetCore.DataProtection, Culture=neutral, PublicKeyToken=adb9793829ddae60 |url: |action: 
2019-10-25 16:03:28.4399|51|DEBUG|Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor|Decrypting secret element using Windows DPAPI. |url: |action: 
2019-10-25 16:03:28.4399||DEBUG|Microsoft.AspNetCore.DataProtection.TypeForwardingActivator|Forwarded activator type request from Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.ConfigurationModel.AuthenticatedEncryptorDescriptorDeserializer, Microsoft.AspNetCore.DataProtection, Version=2.1.1.0, Culture=neutral, PublicKeyToken=adb9793829ddae60 to Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.ConfigurationModel.AuthenticatedEncryptorDescriptorDeserializer, Microsoft.AspNetCore.DataProtection, Culture=neutral, PublicKeyToken=adb9793829ddae60 |url: |action: 
2019-10-25 16:03:28.4399|4|DEBUG|Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.CngCbcAuthenticatedEncryptorFactory|Opening CNG algorithm 'AES' from provider '(null)' with chaining mode CBC. |url: |action: 
2019-10-25 16:03:28.4399|3|DEBUG|Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.CngCbcAuthenticatedEncryptorFactory|Opening CNG algorithm 'SHA256' from provider '(null)' with HMAC. |url: |action: 
2019-10-25 16:03:28.4587|2|DEBUG|Microsoft.AspNetCore.DataProtection.KeyManagement.KeyRingProvider|Using key {9f0ced3c-f7e4-4d94-aea6-956e4cda0b78} as the default key. |url: |action: 
2019-10-25 16:03:28.4587||DEBUG|Microsoft.AspNetCore.DataProtection.Internal.DataProtectionStartupFilter|Key ring with default key {9f0ced3c-f7e4-4d94-aea6-956e4cda0b78} was loaded during application startup. |url: |action: 
